Date,Close
2/20/2001,"1,278.94"
2/21/2001,"1,255.27"
2/22/2001,"1,252.82"
2/23/2001,"1,245.86"
2/26/2001,"1,267.65"
2/27/2001,"1,257.94"
2/28/2001,"1,239.94"
3/1/2001,"1,241.23"
3/2/2001,"1,234.18"
3/5/2001,"1,241.41"
3/6/2001,"1,253.80"
3/7/2001,"1,261.89"
3/8/2001,"1,264.74"
3/9/2001,"1,233.42"
3/12/2001,"1,180.16"
3/13/2001,"1,197.66"
3/14/2001,"1,166.71"
3/15/2001,"1,173.56"
3/16/2001,"1,150.53"
3/19/2001,"1,170.81"
3/20/2001,"1,142.62"
3/21/2001,"1,122.14"
3/22/2001,"1,117.58"
3/23/2001,"1,139.83"
3/26/2001,"1,152.69"
3/27/2001,"1,182.17"
3/28/2001,"1,153.29"
3/29/2001,"1,147.95"
3/30/2001,"1,160.33"
4/2/2001,"1,145.87"
4/3/2001,"1,106.46"
4/4/2001,"1,103.25"
4/5/2001,"1,151.44"
4/6/2001,"1,128.43"
4/9/2001,"1,137.59"
4/10/2001,"1,168.38"
4/11/2001,"1,165.89"
4/12/2001,"1,183.50"
4/16/2001,"1,179.68"
4/17/2001,"1,191.81"
4/18/2001,"1,238.16"
4/19/2001,"1,253.70"
4/20/2001,"1,242.98"
4/23/2001,"1,224.36"
4/24/2001,"1,209.47"
4/25/2001,"1,228.75"
4/26/2001,"1,234.52"
4/27/2001,"1,253.05"
4/30/2001,"1,249.46"
5/1/2001,"1,266.44"
5/2/2001,"1,267.43"
5/3/2001,"1,248.58"
5/4/2001,"1,266.61"
5/7/2001,"1,263.51"
5/8/2001,"1,261.20"
5/9/2001,"1,255.54"
5/10/2001,"1,255.18"
5/11/2001,"1,245.67"
5/14/2001,"1,248.92"
5/15/2001,"1,249.44"
5/16/2001,"1,284.99"
5/17/2001,"1,288.49"
5/18/2001,"1,291.96"
5/21/2001,"1,312.83"
5/22/2001,"1,309.38"
5/23/2001,"1,289.05"
5/24/2001,"1,293.17"
5/25/2001,"1,277.89"
5/29/2001,"1,267.93"
5/30/2001,"1,248.08"
5/31/2001,"1,255.82"
6/1/2001,"1,260.67"
6/4/2001,"1,267.11"
6/5/2001,"1,283.57"
6/6/2001,"1,270.03"
6/7/2001,"1,276.96"
6/8/2001,"1,264.96"
6/11/2001,"1,254.39"
6/12/2001,"1,255.85"
6/13/2001,"1,241.60"
6/14/2001,"1,219.87"
6/15/2001,"1,214.36"
6/18/2001,"1,208.43"
6/19/2001,"1,212.58"
6/20/2001,"1,223.14"
6/21/2001,"1,237.04"
6/22/2001,"1,225.35"
6/25/2001,"1,218.60"
6/26/2001,"1,216.76"
6/27/2001,"1,211.07"
6/28/2001,"1,226.20"
6/29/2001,"1,224.42"
7/2/2001,"1,236.72"
7/3/2001,"1,234.45"
7/5/2001,"1,219.24"
7/6/2001,"1,190.59"
7/9/2001,"1,198.78"
7/10/2001,"1,181.52"
7/11/2001,"1,180.18"
7/12/2001,"1,208.14"
7/13/2001,"1,215.68"
7/16/2001,"1,202.45"
7/17/2001,"1,214.44"
7/18/2001,"1,207.71"
7/19/2001,"1,215.02"
7/20/2001,"1,210.85"
7/23/2001,"1,191.03"
7/24/2001,"1,171.65"
7/25/2001,"1,190.49"
7/26/2001,"1,202.93"
7/27/2001,"1,205.82"
7/30/2001,"1,204.52"
7/31/2001,"1,211.23"
8/1/2001,"1,215.93"
8/2/2001,"1,220.75"
8/3/2001,"1,214.35"
8/6/2001,"1,200.48"
8/7/2001,"1,204.40"
8/8/2001,"1,183.53"
8/9/2001,"1,183.43"
8/10/2001,"1,190.16"
8/13/2001,"1,191.29"
8/14/2001,"1,186.73"
8/15/2001,"1,178.02"
8/16/2001,"1,181.66"
8/17/2001,"1,161.97"
8/20/2001,"1,171.41"
8/21/2001,"1,157.26"
8/22/2001,"1,165.31"
8/23/2001,"1,162.09"
